,name,lugar_extraido
276,Lika Nova,bomm
277,Lina Sanabria,bomm
278,Linda Habitante,bomm
279,Lo Ke Diga El Dedo,bomm
280,Lo Mismo Decían De Juana,bomm
281,Locco Inc.,bomm
282,Lois Neira,bomm
283,Los Neuronas,bomm
284,Los Reyes De La Champeta,bomm
285,Los Rolling Ruanas,bomm
286,Los Vidriosos,bomm
287,Los Yoryis,bomm
288,Lospetitfellas,bomm
289,Lucille Dupin,bomm
290,Lukas KasKas,bomm
291,Lunalé,bomm
292,Mad Tree,bomm
293,Mankind,bomm
294,Mano Armada,bomm
295,Manteca Blue & The Latin Corner,bomm
296,Manuela Mejía,bomm
297,Manyoma Brothers,bomm
298,María Cristina Plata,bomm
299,María Escobar,bomm
300,Maria McCausland,bomm
301,María Vanedi,bomm
302,Marow,bomm
303,Mary Jane,bomm
304,Matar Fuma,bomm
305,Mc Blay,bomm
306,Mente Orgánica,bomm
307,Mística,bomm
308,Mnkybsnss,bomm
309,Mónica Giraldo,bomm
310,MoÜgli,bomm
311,MR. KLAJE,bomm
312,Muerto En Acapulco,bomm
313,Mulato Y La Quema,bomm
314,Nat Bieler,bomm
315,Nauj Project,bomm
316,Nefelibata,bomm
317,Nicolas Delgado Quartet,bomm
318,No Le Digan A Diego,bomm
319,Noelia Maffiold,bomm
320,Nvoz Banda Vocal,bomm
321,Nvoz Banda Vocal,bomm
322,Oh MargÓ,bomm
323,Oh'laville,bomm
324,Okraa,bomm
325,Pabo Watusi,bomm
326,Pantoja,bomm
327,Pao Calderon,bomm
328,Paraísos,bomm
329,Paula Pera y el fin de los Tiempos,bomm
330,Paula van Hissenhoven,bomm
331,Pavlo,bomm
332,Phonoclórica,bomm
333,Pibes Bambuqueros,bomm
334,Pirineos En Llamas,bomm
335,Plu con Plá,bomm
336,Prophet Negus And The Prediction,bomm
337,Puente Aéreo,bomm
338,Puerto Arena,bomm
339,Puerto Candelaria,bomm
340,Quinteto Leopoldo Federico,bomm
341,Radio Bembé,bomm
342,Radio Paila,bomm
343,REALIDAD MENTAL,bomm
344,Realidad Mental,bomm
345,Retórica Rima,bomm
346,Rex Marte,bomm
347,Riffle,bomm
348,Rizomagic,bomm
349,Salsangroove,bomm
350,Santiago Navas,bomm
351,Santiago Sandoval,bomm
352,Sara Acero,bomm
353,SARA ACERO,bomm
354,Señor Naranjo,bomm
355,Shonny & El Hijo Del Búho,bomm
356,Solange Prat,bomm
357,Solo Valencia,bomm
358,Somer,bomm
359,SOMER,bomm
360,,bomm
361,Sonoras Mil,bomm
362,Soy Emilia,bomm
363,Spektra De La Rima,bomm
364,Sr Pablo,bomm
365,Steffig Raff,bomm
366,Subantrópico,bomm
367,Tambor Hembra,bomm
368,Tamezz,bomm
369,Telebit,bomm
370,The Mills,bomm
371,The Negro Tapes,bomm
372,The Virginia Valley,bomm
373,Tommy Devia,bomm
374,TONADA,bomm
375,Tonada,bomm
376,ToÑo Barrio,bomm
377,Trebslide,bomm
378,Tribu Baharú,bomm
379,Tropickup,bomm
380,Tsh Sudaca,bomm
381,Urpi Barco,bomm
382,Volcán,bomm
383,Wahari,bomm
384,"Wilson Manyoma ""saoko""",bomm
385,Xavier,bomm
386,Xavier Martinex,bomm
387,Yera,bomm
388,Yoni Teran,bomm
389,Yooko,bomm
390,Zafat,bomm
391,Zalama Crew,bomm
392,Zatélithe,bomm
393,Zultan,bomm
394,Ensamble musical casa de la cultura San Alberto,simus
395,Charlie Rueda & The Jazzmorgans ,simus
396,Gente pescaito,simus
397,los Andes,simus
398,CORO MUNICIPAL DE  MALAMBO,simus
399,CORO ATRES,simus
400,A TRES TRIO,simus
401,CUERPO Y ALMA LATIN ROCK BAND,simus
402,banda escuela 16 de julio,simus
403,gaita casa de la cultura de san estanislao,simus
404,"EFAM ""ARTEODORO MORA""",simus
405,Banda SInfonica COMARCA ,simus
406,GAITAMARA,simus
407,Banda Juvenil de Nuevo Colón ,simus
408,Coral Municipal Voces del Caribe ,simus
409,AGRUPACIÓN FOLCLÓRICA BULLERENGUE PA´VENDE,simus
410,Banda Sinfónica Infantil,simus
411,Banda Sinfónica Juvenil,simus
412,Coro Infantil y juvenil,simus
413,Tuna juvenil ,simus
414,MANIGUA,simus
415,Banda Escuela de Viento,simus
416,K-JUCHES,simus
417,Orquesta Sinfónica Infantil y Juvenil de Siloé,simus
418,RUMBALQUEÑA,simus
419,Eduardo Bandola,simus
420,COLOMBITA,simus
421,Buenos Aires Tango Quinteto,simus
422,La Rasca Tropical Andina,simus
423,Tamborimba,simus
424,Son de CaSa,simus
425,YÁ SON SABOR,simus
426,Coro Filarmónico Juvenil,simus
427,Trío de Ida y Vuelta,simus
428,Los Paisanos de la Carranga,simus
429,Ensamble de Guitarras,simus
430,"Grupo de Tamboras ""A candela Viva""",simus
431,"Agrupación  de música tropical ""TropiSwing""",simus
432,Banda Sinfónica de Aratoca,simus
433,Viajeros,simus
434,Legend Wars,simus
435,Latido Artificial,simus
436,Quijotadas Cuarteto Instrumental,simus
437,sonidos de paz,simus
438,semillero sonidos de paz,simus
439,Banda de viento infantil municipio de paicol,simus
440,SAGA ENSAMBLE,simus
441,Trío Café Antaño,simus
442,Grupo Show Crossover,simus
443,Fiesta Imperial,simus
444,GRUPO CAÑA Y CHONTA,simus
445,the project blues,simus
446,Ronin Agrupación Musical,simus
447,ASOCIACIÓN CORAL SOGAMOSEÑA,simus
448,Orquesta Filarmónica Juvenil de Santander,simus
449,bandajes ,simus
450,TALLER CULTURAL SOLSTICIO,simus
451,MAR DE LEVA,simus
452,Resonancias,simus
453,Illary,simus
454,Ácido Pantera,simus
455,CUARTETO DE SAXOFONES DEL ALTIPLANO,simus
456,ORQUESTA SINFONICA INFANTIL JUVENIL IED COLEGIO TOBERIN,simus
457,Mulambo Ensamble,simus
458,Dasein,simus
459,THE CRIOLLOS,simus
460,LA MAREJADA,simus
461,MANIGUA ROCK MESTIZO,simus
462,Los Guatis,simus
463,Estrellas del Silencio,simus
464,CORO JUVENIL LA CUERDA,simus
465,PUERTO ARENA ,simus
466,D'POCKERS,simus
467,ARBORE,simus
468,SIN LIMITES ORQUESTA,simus
469,El Sueño del Maestro Big Band,simus
470,GEMINIS RELOADED,simus
471,LA SONIDERA,simus
472,Mao Escobar Arias,simus
473,Adjazzentes,simus
474,Chimo Psicodelico,simus
475,Grupo Vocal Mixto Tayarú,simus
476,Treffy & La Quijote Band,simus
477,Cristian Castañeda,simus
478,DESORDEN SOCIAL ,simus
479,El Moro,simus
480,CONVICT3D,simus
481,CORO MUNICIPAL DE SOACHA,simus
482,Grupo de Pop,simus
483,Riot Alert,simus
484,Pre ensamble de cuerdas frotadas,simus
485,Pre-Banda Municipal de Soacha,simus
486,Banda Sinfónica Municipal de Soacha  ,simus
487,Mariachi Huasteca de Manizales,simus
488,Royal Class,simus
489,GRUPO HERENCIAS,simus
490,Bandas Musicales Especiales Estudiantiles de Soacha,simus
491,ENSAMBLE DE CUERDAS PULSADAS DEL MUNICIPIO DE SOACHA,simus
492,BANDA DE VIENTOS INSTITUCION EDUCATIVA SANTA MARTHA,simus
493,NUROCK Group Colombia,simus
494,Colectivo Musikpro,simus
495,Los Rolling Ruanas ,simus
496,CORAZÓN SANTANDEREANO,simus
497,CORO ANGELLUS IEC MISERICORDIAS,simus
498,CORO CELESTA,simus
499,AGRUPACION CORAL SUASI,simus
500,Banda Municipal Nueva Generación ,simus
501,Vingus Band,simus
502,Estudiantina San Antonio,simus
503,Alibombo,simus
504,Harbey Urueña - Grupo,simus
505,Irissintética ,simus
506,Mitú,simus
507,Meridian Brothers,simus
508,La Perla,simus
509,Orquesta colombiana de bandolas,simus
510,Litoral Ensamble,simus
511,Orquesta Barroca de Bogotá,simus
512,Sexteto Gamerano y el Legado de Magín Díaz,simus
513,Grupo Gualajo ,simus
514,Tuna Navarra,simus
515,KIMBARA ORQUESTA,simus
516,Oh'laville,simus
517,Montaña,simus
518,CUARTETO DE CLARINETES DE BOGOTÁ,simus
519,Quinteto Leopoldo Federico,simus
520,Huari,simus
521,APHANGAK,simus
522,Ra La Culebra,simus
523,Cumbia Caribe ,simus
524,La Mambanegra,simus
525,Orquesta de Cuerdas Pulsadas de Santander,simus
526,TARMAC,simus
527,Magistrado Tocineta,simus
528,ZALAMA CREW,simus
529,Romperayo,simus
530,CBB & The Roosters,simus
531,Harawí,simus
532,Arrabalero,simus
533,JL BASSMAN,simus
534,CEFERINA BANQUEZ Y SUS CANTOS ANCESTRALES DE GUAMANGA,simus
535,Ensamble Macondo,simus
536,PROYECTO MOZART,simus
537,JARANATAMBO,simus
538,Fundación Bullerenguera Palmeras de Urabá,simus
539,Akorde musik,simus
540,Old House,simus
541,REC,simus
542,Locotina,simus
543,Banda Vocal NVoz,simus
544,Tuna Femenina Universidad de Los Andes,simus
545,Julian Benavides,simus
546,Miseria Crú,simus
547,Manuel De la Rosa,simus
548,Cachicamo,simus
549,Adrián Una Canción Necesaria,simus
550,Para: lello,simus
551,Ana Naranja,simus
552,Casa de fado,simus
553,Tubotoa,simus
554,Grupo Seresta,simus
555,Agrupación Nueva - Era,simus
556,Luinn ,simus
557,æire irlandés,simus
558,Santy Clap,simus
559,Culturaleza,simus
560,Grupo Tierra del Fuego ,simus
561,CUNA GUANE,simus
562,Savia ,simus
563,Alma y Tradición,simus
564,Traveler,simus
565,Maria Juana No Se Ha Muerto,simus
566,Banda Sinfonica de Girardota,simus
567,Banda sinfonica de Girardota,simus
568,Aguaelulo trío,simus
569,Batucada Bembé,simus
570,Jaison neutra ,simus
571,Larvante,simus
572,La Big Bang Music,simus
573,Orquesta La Gozadera,simus
574,Los Cumbia Stars,simus
575,ADIVARIUS,simus
576,Colombia Canta y Encanta,simus
577,Kanthores,simus
578,BAHIA CHAMPETA,simus
579,BANDA 13 ENERO,simus
580,Caña Flecha,simus
581,ACADEMIA LORANA DE ARTES,simus
582,Estilo Sinú,simus
583,ETNIK DANZA,simus
584,Mario and Boris,simus
585,SEXTETO DEL SILENCIO,simus
586,LA PITADORA BRASS MUSIC ,simus
587,JOCHE MEZA,simus
588,GRUPO OTRAPARTE,simus
589,Sonata Urbana,simus
590,GRUPO AYAJAR,simus
591,Trío Picaporte,simus
592,Chimó Psicodélico,simus
593,Caravanchela,simus
594,"Pá, Pararam",simus
595,SR. MACANA,simus
596,DADANOYS,simus
597,ESE Trio,simus
598,DANYU,simus
599,María Barilla,simus
600,Banda de Flautas Chicha y Guarapo,simus
601,LABORATORIO MUSICAL,simus
602,Alijuna,simus
603,Totacera,simus
604,La BOA,simus
605,Las Cinco Puntas ,simus
606,Batucada Bembé,simus
607,Grupo Élite,simus
608,Serenada,simus
609,Resonar Lab,simus
610,La Mucura,simus
611,Radiosónica,simus
612,Yuma Kirtan,simus
613,Zendas,simus
614,Sr.groove,simus
615,Provincia Costanera,simus
616,Alejo García,simus
617,MOIRAS,simus
618,Golpe Malibú,simus
619,Suamox Producciones Interculturales,simus
620,Militantex,simus
621,La Bohème Band,simus
622,Luis Ardila Ensanble,simus
623,El Gran Latido Sound System,simus
624,Nuestras Voces,simus
625,Alé Kumá,simus
626,Despedidos Ska/Fusión,simus
627,La Funk Organisation,simus
628,VOX FRACTAL,simus
629,Oleos de mi tierra,simus
630,Abel Loterstein,simus
631,Hermanos Uribe,simus
632,Latin Latas ,simus
633,CANDELARIA BIG BAND,simus
634,Atemporánea cuarteto de guitarras,simus
635,Cantoverde,simus
636,EKA Y LOS GORDOM,simus
637,La Temblequera,simus
638,Nybram,simus
639,Son del Valle Internacional,simus
640,Omar Raven,simus
641,PAPÁ BOCÓ,simus
642,SIHUAR,simus
643,La Chinamenta de Susana la gusana,simus
644,EL ANGEL EXTERMINADOR,simus
645,MusicJOS,simus
646,Yahbra,simus
647,Santo Son,simus
648,Gil de gils,simus
649,MARAWE,simus
650,MACONDA,simus
651,KOMBILESA MI,simus
652,MARAWE,simus
653,BRONX CLUB,simus
654,SANKOFA TRÍO,simus
655,La Gran resbalosa,simus
656,Taller de Retazos,simus
657,SoundSax,simus
658,Colectivo Triquiñuela,simus
659,Orquesta Sinfonica EAFIT ,simus
660,Lion Reggae ,simus
661,LA BEMBA,simus
662,EMBERAWERA,simus
663,Los Cocodrilos Vallenatos,simus
664,Grupo de tamboras de la escuela de música,simus
665,Pre-banda JUvenil,simus
666,NAIOT,simus
667,the bosi ,simus
668,Chirimía Infantil,simus
669,CocóNonó ,simus
670,Diego Trujillo Franco,simus
671,banda sinfonica luis variara,simus
672,CORAL LUIS A. CALVO,simus
673,Julian Silva,simus
674,Payambó,simus
675,Música Tradicional Chirimía ,simus
676,J E Y D A M,simus
677,C A L Y P S O  D A N C E,simus
678,LISETH SALGADO,simus
679,M AI  S T E V E N,simus
680,PETER DIAZ,simus
681,PINCELES Y CADERAS,simus
682,SEXT E TO ARTURO HERNANDEZ ,simus
683,S O N  J A R A,simus
684,BIG BAND ,simus
685,GABI CASTELLANOS,simus
686,SON CERETÉ,simus
687,"OSCAR "" J""",simus
688,SUPER COMBO LATINO,simus
689,FUNDACION MUSICAL BANDA JUVENIL DE SAN ANDRES ISLA ,simus
690,Agrupación Alborada,simus
691,banda estudiantil de música institución educativa nuestra señora del carmen,simus
692,BANDA INFANTIL PUERTO DEL MACIZO,simus
693,Diana Tovar ,simus
694,Mike Baron,simus
695,Coro infantil Apromucor,simus
696,Ensamble Vocal MACONDO ,simus
697,Vc4 (Vccuatro),simus
698,LA BANDA DE NAYO,simus
699,Hermanos Menores,simus
700,SoundSax Ensamble,simus
701,CORAL SOCIETAS ,simus
702,Orquesta de Camara Universidad de Cartagena,simus
703,Coro Infantil I.E San Lucas,simus
704,Sol Okarina,simus
705,Catalina Avila,simus
706,Mr. Klaje,simus
707,Kolectivo K,simus
708,Warabá,simus
709,Le Muá,simus
710,Juliana Reinat Piano Studio,simus
711,Franco Nicolau (Grupo),simus
712,Soporte Klan,simus
713,CORAL ELEAZAR TORREGLOSA,simus
714,Banda Sinfónica juvenil Luis Alberto Scarpetta de Gigante Huila  ,simus
715,Tambor Hembra,simus
716,Sin Ausencia ,simus
717,HANZ,simus
718,Banda Sinfónica Departamental de Nariño,simus
719,Martina Camargo y su grupo,simus
720,NUEVO JOROPO FEMENINO ,simus
721,Los Crankers,simus
722,Oriana Medina,simus
723,IVAN FRANCISCO PEDRAZA,simus
724,Asociación La Múcura,simus
725,fatsO,simus
726,Atlantico Big Band,simus
727,MANYOMA BROTHERS,simus
728,Prebanda sinfonica,simus
729,La-33,simus
730,DARKEMPIRE,simus
731,"El Maraveli, Literatura oral guitarra solista",simus
732,Coro Polifónico Nuevo Tolima,simus
733,Los Pangurbes,simus
734,CORDA ENSAMBLE,simus
735,Bozá,simus
736,CORO ALBERTO CARBONELL,simus
737,CORO INFANTIL JUVENIL PUERTO COLOMBIA,simus
738,Orquesta Salsa 220,simus
739,ESTACIÓN ESTELAR,simus
740,FUC,simus
741,Kanthores,simus
742,Coro de Cámara Voci del Mare,simus
743,Grupo Cagüinga,simus
744,Oscaryvan Garzon Trio,simus
745,Coral Brahms,simus
746,Banda Sinfónica Especial de Bello,simus
747,Coro Infantil-Juvenil,simus
748,Yarumo,simus
749,Aleteos,simus
750,Ensamble vocal scuilo,simus
751,GRUPO VALLENATO INFANTIL-CENTRO DE FORMACION LA JAGUA DE IBIRICO,simus
752,Dueto Cuellar Gutierrez,simus
753,GRUPO VALLENATO JUVENIL CENTRO DE FORMACION ARTISTICO  DE LA JAGUA DE IBIRICO,simus
754,ESCUELA DE FORMACION ARTISTICA Y CULTURAL LAS PALMITAS,simus
755,BANDA SINFÓNICA CENTRO DE FORMACION LA JAGUA DE IBIRICO,simus
756,TAMBOBANDA GUARUNDAIMO,simus
757,NIÑOS DEL VALLENATO DEL PASO CESAR,simus
758,BANDA SINFÓNICA DE BECERRIL,simus
759,DINASTIA LOS PINTOS,simus
760,Corporacion de musicos de la banda Bolivar de Túquerres,simus
761,Ensamble Pa'l Viento,simus
762,Capítulo Fin,simus
763,sxteto de clarinetes,simus
764,Show La Carranguerita ,simus
765,Viajaeras del Pentagrama ,simus
766,Laura Alejandra Chaparro Nossa ,simus
767,JACH´A MANTA,simus
768,LA SEVERA MATACERA,simus
769,Etnia Company ,simus
770,Banda Sinfónica Juvenil de la Escuela de Musica de Balboa,simus
771,Alejandra Dueñas,simus
772,Coro Panche de Mesitas,simus
773,Quinteto Sincopados,simus
774,OLIMPO HJ ,simus
775,Lemon Music,simus
776,Q2PLA,simus
777,"Mariachi ""Trompetas de Oro""",simus
778,ORGANIZACION MUSICAL LUCHO ROJAS,simus
779,MONARETA LATIN GROOVE,simus
780,CALIMAS TRIO MUSICAL,simus
781,Agrupacion musical LLANOMELAO,simus
782,Orquesta Juvenil Cuerdas Pulsadas de Villeta,simus
783,RAÍCES CIENAGUERAS ,simus
784,TRÍO DE CAUTRO,simus
785,HIjos Del Sol,simus
786,TRIO NUEVA IMAGEN,simus
787,ONDA NUEVA LLANERA ,simus
788,Mariachi Mayoral,simus
789,Estudiantina Con-Trastes,simus
790,GABRIEL CHAPARRO NOSSA ,simus
791,MÓRBIDO,simus
792,CANTARES TRIO,simus
793,OMAR Y MILLER LOS MUÑOZ DEL VALLENATO,simus
794,K-Pital Swing Producciones,simus
795,Los Alcaravanes de Ariporo,simus
796,Huari Runa,simus
797,CANAPIARE,simus
798,Canapiare_,simus
799,El Supersón Frailejónico,simus
800,El león Pardo,simus
801,Malanga Swing,simus
802,Ensamble Continuo,simus
803,Quinteto Antioqueño de Bronces,simus
804,SATORI TRÍO,simus
805,iomma,simus
806,Coral Gustavo Gómez Ardila,simus
807,Emci Rimas,simus
808,Beso De Negra,simus
809,Orquesta Madeira,simus
810,LA DOBLE A,simus
811,sinú sax quartet,simus
812,La Mambanegra,simus
813,"Orquesta ""S.D.C"" Son De Cuba",simus
814,Mariachi Clásico San Vicente,simus
815,Orquesta S.D.C Son De Cuba,simus
816,banda de Vientos del resguardo de san francisco,simus
817,BHAKTA PROJECT,simus
818,Explosion Negra,simus
819,Tres & Yo,simus
820,ENDER LEZAMA,simus
821,CORPORACION TUNA CONFRATERNIDAD,simus
