artist_id,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0EmeFodog0BfCgMzAIvKQp,3o4qlkbRP4DSXl4NBrWULJ,53,0.765,0.522,2,-9.927,1,0.0363,0.128,0.0,0.0613,0.44,100.979,250240,4
0EmeFodog0BfCgMzAIvKQp,5yKQTwznar5I75UyYJ9CnR,66,0.854,0.684,6,-7.333,0,0.0361,0.00854,0.0,0.152,0.673,119.957,205800,4
0EmeFodog0BfCgMzAIvKQp,6IGvaQ4aFBjy66TdUurIiA,65,0.743,0.78,7,-9.212,1,0.0722,0.0635,0.0,0.126,0.597,109.044,231693,4
0EmeFodog0BfCgMzAIvKQp,3az4yF4Rq9uYXYH3FPDV08,32,0.422,0.875,7,-2.992,0,0.083,0.217,0.0,0.176,0.583,171.887,195800,4
0EmeFodog0BfCgMzAIvKQp,7hDOnCrtEQQSpXPEGsIpL0,30,0.41,0.868,6,-8.146,0,0.0473,0.019,0.0106,0.993,0.237,127.984,494600,4
0EmeFodog0BfCgMzAIvKQp,6LsYSp8cjEysnQwzQy9Pbf,25,0.652,0.221,10,-10.093,1,0.041,0.942,1.9e-06,0.117,0.485,130.026,188627,4
0EmeFodog0BfCgMzAIvKQp,5MopGFld8Nlq50E5dPiA3Z,36,0.585,0.975,0,-2.945,1,0.0933,0.025,0.0,0.92,0.575,120.368,316027,4
0EmeFodog0BfCgMzAIvKQp,1SH9WY0eACGHxtrmW3QAn1,49,0.37,0.542,8,-6.677,1,0.043,0.139,7.91e-06,0.105,0.14,144.016,222773,4
0EmeFodog0BfCgMzAIvKQp,6UwBdW2wlO9ikUD3LU8GF3,48,0.784,0.763,0,-5.075,1,0.0483,0.0413,0.00161,0.0974,0.782,100.008,213440,4
0EmeFodog0BfCgMzAIvKQp,41KMz96q61OB9MN1G83zw2,31,0.59,0.922,0,-6.594,1,0.0513,0.0383,1.77e-06,0.986,0.581,120.391,298840,4
0EmeFodog0BfCgMzAIvKQp,5WLVrSduOfeoTKaJROOKxy,2,0.546,0.87,9,-4.222,1,0.217,0.168,0.0,0.109,0.729,168.579,192013,4
0EmeFodog0BfCgMzAIvKQp,139H1RoVeKGH6yxXilC44B,8,0.668,0.655,0,-5.67,1,0.0511,0.704,0.0,0.165,0.451,78.983,239787,4
0EmeFodog0BfCgMzAIvKQp,2rrvUPLtI04km3zXafzYLJ,17,0.823,0.783,2,-8.044,1,0.0489,0.0421,7.87e-06,0.106,0.459,123.789,445333,4
0EmeFodog0BfCgMzAIvKQp,23GJurt14EkapWh7EDmZ0I,1,0.441,0.88,7,-3.681,1,0.0591,0.0592,0.0,0.0247,0.625,166.397,203267,4
0EmeFodog0BfCgMzAIvKQp,4oFMKBqTODSF76PcyXOn2w,22,0.867,0.604,5,-4.783,0,0.0578,0.0349,1.3e-06,0.0822,0.424,99.971,197173,4
0EmeFodog0BfCgMzAIvKQp,5J5uyhoBZxJwmjy2Zg6DgF,60,0.75,0.46,0,-7.932,1,0.0334,0.457,0.0,0.0996,0.201,130.078,174533,4
0EmeFodog0BfCgMzAIvKQp,0RJWhctsc1G1Hg3Ov2th7x,0,0.793,0.831,1,-4.861,0,0.0405,0.264,7.03e-06,0.207,0.865,107.645,197027,4
0EmeFodog0BfCgMzAIvKQp,0kM7Geaz7x7r17CPONjpOU,49,0.664,0.894,0,-3.729,1,0.271,0.219,0.0,0.134,0.605,191.966,179480,4
0EmeFodog0BfCgMzAIvKQp,0YJQQBhnOA6E4NPmRk0kn5,13,0.532,0.614,5,-4.691,0,0.0561,0.726,0.0,0.0513,0.429,79.859,239333,4
0EmeFodog0BfCgMzAIvKQp,5K8gG4afcllua0tibmacrL,34,0.526,0.963,6,-4.129,0,0.0768,0.0108,0.00458,0.93,0.389,110.018,314760,4
0EmeFodog0BfCgMzAIvKQp,1lsOlwIK9uDvRmIfqMT1TO,18,0.511,0.709,6,-4.391,1,0.0564,0.646,0.0,0.0494,0.306,123.987,208053,5
0EmeFodog0BfCgMzAIvKQp,6rROXfjFzQyH2w9FAiVkq7,53,0.632,0.414,11,-13.45,0,0.033,0.693,0.000577,0.11,0.169,109.198,213760,4
0EmeFodog0BfCgMzAIvKQp,0OEBOJhSObnFuHuasXdt52,69,0.687,0.361,10,-11.589,1,0.0792,0.35,1.11e-05,0.11,0.526,165.747,173133,4
0EmeFodog0BfCgMzAIvKQp,3J93BR2ihQjDQ9n9AfYTqu,52,0.809,0.404,4,-9.928,1,0.0556,0.284,0.0,0.111,0.636,125.038,204960,4
0EmeFodog0BfCgMzAIvKQp,3RKACFlA87RZMDWwRKjLKn,38,0.437,0.962,8,-5.3,0,0.0928,0.0118,0.057,0.953,0.472,132.98,206800,4
0EmeFodog0BfCgMzAIvKQp,4vAgeM69bVMDFc8NZeJNxc,37,0.678,0.931,5,-4.452,1,0.0942,0.19,0.00244,0.952,0.797,104.006,171693,4
0EmeFodog0BfCgMzAIvKQp,67nZk5h7vEey996YUNTiGO,2,0.608,0.882,11,-2.702,0,0.0435,0.128,0.0,0.385,0.963,137.931,214387,4
0EmeFodog0BfCgMzAIvKQp,6eTr0YUNvL3oytQdwvxvgE,15,0.352,0.0653,7,-17.05,0,0.0332,0.931,0.894,0.0944,0.0457,95.795,218593,3
0EmeFodog0BfCgMzAIvKQp,4u4IGu2h8uiMp0agG53KOy,34,0.241,0.816,7,-3.932,1,0.0487,0.352,3.41e-06,0.722,0.279,165.937,241707,4
0EmeFodog0BfCgMzAIvKQp,6c8ZIkGXlKE5vSzrUbHLDr,47,0.63,0.414,3,-8.076,1,0.0352,0.887,0.00011,0.0975,0.474,81.095,146973,3
0EmeFodog0BfCgMzAIvKQp,4suenIuyqxZYV0VIjsbYrG,59,0.669,0.885,2,-5.462,1,0.0497,0.0362,0.0,0.13,0.627,123.94,232200,4
0EmeFodog0BfCgMzAIvKQp,2N1vJgOptB5T0eqXaOAsaZ,0,0.607,0.872,11,-5.33,0,0.0664,0.0159,0.0,0.0237,0.709,179.414,222960,4
0EmeFodog0BfCgMzAIvKQp,6w007TZFxbvuuJKHvsnEOq,41,0.667,0.871,1,-6.382,1,0.0743,0.0741,7.16e-05,0.811,0.72,91.997,275653,4
0EmeFodog0BfCgMzAIvKQp,1V9sgqbGBjcgi9gzQBR2b9,38,0.458,0.979,10,-5.215,0,0.242,0.0618,9.57e-06,0.654,0.26,179.988,320527,4
0EmeFodog0BfCgMzAIvKQp,0zpjG9KjXTWNGJZaBhi5ZI,39,0.64,0.675,3,-5.848,1,0.0241,0.0456,0.0,0.0989,0.42,100.993,230333,4
0EmeFodog0BfCgMzAIvKQp,2Z0B1K4oP5s3xoFcCbDm4T,0,0.729,0.97,1,-5.34,1,0.0548,0.139,5.22e-06,0.14,0.699,127.054,236427,4
0EmeFodog0BfCgMzAIvKQp,4QTPXntU1GPF932cw62ocq,30,0.815,0.895,11,-4.974,0,0.0423,0.097,0.00736,0.0757,0.962,121.991,189667,4
0EmeFodog0BfCgMzAIvKQp,6ZEVQ2whiJvhjCNAOJ0DC3,67,0.567,0.333,0,-8.818,1,0.0258,0.714,4.53e-06,0.25,0.208,139.807,214133,4
0EmeFodog0BfCgMzAIvKQp,6F3TPVBbRstvxYt2BwCpvZ,21,0.767,0.22,6,-13.149,0,0.0429,0.839,4.63e-05,0.0687,0.335,132.039,171595,3
0EmeFodog0BfCgMzAIvKQp,0JjJHeAz3VI3Ofad6QFnWU,26,0.781,0.799,11,-5.114,1,0.0889,0.176,7.97e-05,0.343,0.555,127.896,197427,4
0EmeFodog0BfCgMzAIvKQp,0xAj6U1M7unQRcWSeMnuzC,24,0.408,0.335,9,-13.265,0,0.0394,0.825,0.274,0.296,0.136,120.768,116100,4
0EmeFodog0BfCgMzAIvKQp,0yG10Acud8ZucKLQqXBMVQ,29,0.544,0.952,2,-7.449,1,0.155,0.0482,0.0,0.978,0.242,112.092,276733,4
0EmeFodog0BfCgMzAIvKQp,5uYSNqjYAuBrY0Roq3iCnJ,39,0.539,0.938,2,-5.219,1,0.106,0.005,0.00421,0.963,0.403,127.052,447493,4
0EmeFodog0BfCgMzAIvKQp,4qknM1pQz53QOyfDVTjcM9,68,0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,4
0EmeFodog0BfCgMzAIvKQp,0dUHP7KmAPrcU7n7O4m5ZT,28,0.718,0.754,0,-5.894,1,0.0549,0.315,2.32e-06,0.128,0.406,115.013,211400,4
0EmeFodog0BfCgMzAIvKQp,70lnL3QaSOIIyMa2X9aVRL,68,0.75,0.76,1,-4.836,1,0.198,0.187,0.0,0.0548,0.893,183.817,195213,4
0EmeFodog0BfCgMzAIvKQp,1w5nWhUzrQqj0WnDXrgsnC,55,0.601,0.897,11,-5.423,0,0.0495,0.0174,7.61e-06,0.0299,0.66,179.356,223200,4
0EmeFodog0BfCgMzAIvKQp,1JLMTorrvIhxMTIYyUQMm3,3,0.651,0.88,4,-3.676,1,0.0552,0.336,0.0,0.146,0.482,124.914,198107,4
0EmeFodog0BfCgMzAIvKQp,7jxHeJLVpnP7S08JFF4GBi,70,0.746,0.876,1,-6.042,1,0.0345,0.0438,2.51e-06,0.112,0.928,119.97,267827,4
0EmeFodog0BfCgMzAIvKQp,1pMkyQhAIAUN5fBNunIkGA,39,0.663,0.659,0,-5.712,1,0.0622,0.677,0.0,0.146,0.414,79.196,239787,4
0EmeFodog0BfCgMzAIvKQp,2GxfKCnvQuwJOup5RoRXKo,40,0.714,0.828,11,-3.402,0,0.0501,0.193,0.0,0.118,0.867,137.984,206467,4
0EmeFodog0BfCgMzAIvKQp,2lnzGkdtDj5mtlcOW2yRtG,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,196160,4
0EmeFodog0BfCgMzAIvKQp,5mqbIuIagl2q2HZqTiLSfS,38,0.777,0.774,8,-4.294,1,0.0294,0.237,2.29e-06,0.0889,0.638,119.949,227293,4
0EmeFodog0BfCgMzAIvKQp,5z2BEa0LHhiOlqEWitESMn,35,0.768,0.77,5,-4.072,1,0.0296,0.0331,0.0,0.254,0.581,128.05,214160,4
0EmeFodog0BfCgMzAIvKQp,1bP3m6PbyzsEu4rq2BxONs,9,0.715,0.817,2,-6.661,1,0.0409,0.0579,0.0,0.123,0.715,117.074,232693,4
0EmeFodog0BfCgMzAIvKQp,6i2kn3iS5WKzsaYBdeHLIQ,51,0.795,0.819,11,-4.933,1,0.0433,0.184,0.0013,0.346,0.613,127.984,197627,4
0EmeFodog0BfCgMzAIvKQp,1qpgdHfBm98SllC8mkaQwn,0,0.52,0.886,11,-5.721,0,0.0626,0.0255,5.87e-06,0.0805,0.724,188.116,246693,4
0EmeFodog0BfCgMzAIvKQp,00WhZxJjmFz42OqzGnkoBD,42,0.675,0.905,8,-4.415,0,0.06,0.0903,0.0239,0.968,0.804,102.077,210787,4
0EmeFodog0BfCgMzAIvKQp,2cxOb6wbXhs7CZFjzXn075,35,0.355,0.628,11,-6.517,1,0.0341,0.343,0.00192,0.487,0.177,89.712,197467,3
0EmeFodog0BfCgMzAIvKQp,6ja9N12lzBD1TRuQfZb18z,36,0.569,0.746,6,-3.55,0,0.0533,0.0681,0.0,0.115,0.476,149.949,205813,4
0EmeFodog0BfCgMzAIvKQp,2ZLkmFeraZyt2ccuwnupny,53,0.873,0.725,5,-5.108,0,0.0824,0.429,4.74e-06,0.182,0.687,137.935,192693,4
0EmeFodog0BfCgMzAIvKQp,0G9l5wXwtbKAoBGr04od6h,25,0.299,0.504,0,-9.085,1,0.0413,0.747,0.000128,0.92,0.239,133.832,290333,4
0EmeFodog0BfCgMzAIvKQp,4g5ucHrtIEM4LrIbrLo8Oz,57,0.505,0.663,2,-5.904,1,0.0341,0.308,5.79e-05,0.216,0.208,80.761,271400,4
0EmeFodog0BfCgMzAIvKQp,58haa2vmqz7tCG7FFDrLWZ,38,0.507,0.934,0,-2.995,1,0.0547,0.00294,9.43e-05,0.333,0.222,94.008,209573,4
0EmeFodog0BfCgMzAIvKQp,31NNxg7WYqs1bgRSFXgCf8,54,0.833,0.607,9,-8.319,1,0.0327,0.0236,2.44e-06,0.154,0.668,118.003,218333,4
0EmeFodog0BfCgMzAIvKQp,3FeclOAkmIFucOCAeTRbn8,32,0.543,0.864,6,-4.291,0,0.202,0.19,0.0,0.134,0.705,168.598,192013,4
0EmeFodog0BfCgMzAIvKQp,2MvAVCemROwiNpznvgRBHH,39,0.587,0.965,10,-4.473,0,0.109,0.0197,0.00118,0.785,0.453,99.996,382880,4
